input,output,cluster
quiero algo caro,Hay opciones premium con mejores características,1
gracias,De nada 😊 estoy aquí para ayudarte,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
quiero algo caro,Hay opciones premium con mejores características,1
busco calidad,Busca marcas reconocidas con buen rating,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
busco rendimiento,Busca dispositivos con buen procesador,1
busco calidad,Busca marcas reconocidas con buen rating,1
gracias,De nada 😊 estoy aquí para ayudarte,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
busco calidad,Busca marcas reconocidas con buen rating,1
busco calidad,Busca marcas reconocidas con buen rating,1
quiero ver opiniones,Puedo mostrarte opiniones reales de usuarios,1
bye,Hasta luego 👋,1
quiero algo caro,Hay opciones premium con mejores características,1
no me gusta,Entiendo 😅 puedo buscarte otra opción,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
no funciona,Intentemos con otro producto mejor,1
no funciona,Intentemos con otro producto mejor,1
gracias,De nada 😊 estoy aquí para ayudarte,1
gracias,De nada 😊 estoy aquí para ayudarte,1
busco rendimiento,Busca dispositivos con buen procesador,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
quiero ver opiniones,Puedo mostrarte opiniones reales de usuarios,1
gracias,De nada 😊 estoy aquí para ayudarte,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
quiero ver opiniones,Puedo mostrarte opiniones reales de usuarios,1
no me gusta,Entiendo 😅 puedo buscarte otra opción,1
quiero algo caro,Hay opciones premium con mejores características,1
no funciona,Intentemos con otro producto mejor,1
gracias,De nada 😊 estoy aquí para ayudarte,1
bye,Hasta luego 👋,1
quiero algo caro,Hay opciones premium con mejores características,1
quiero algo barato,Te puedo recomendar algo económico con buena calidad,1
busco rendimiento,Busca dispositivos con buen procesador,1
quiero algo caro,Hay opciones premium con mejores características,1
no me gusta,Entiendo 😅 puedo buscarte otra opción,1
